Date,Time,Time Zone,Currency,Event,Importance,Actual,Forecast,Previous
Mon May 29,01:15,GMT,USD,USD Fed's Williams Speaks in Singapore,Low,,,
Mon May 29,08:00,GMT,EUR,EUR Euro-Zone M3 s.a. (YoY),Low,,5.2%,5.3%
Mon May 29,08:00,GMT,CHF,CHF Total Sight Deposits CHF,Low,,,575.5b
Mon May 29,08:00,GMT,CHF,CHF Domestic Sight Deposits CHF,Low,,,487.5b
Mon May 29,13:00,GMT,EUR,EUR Draghi Speaks at European Parliament Economic Committee,High,,,
Mon May 29,22:45,GMT,NZD,NZD Building Permits (MoM),Low,,,-1.8%
Mon May 29,23:30,GMT,AUD,AUD ANZ Roy Morgan Weekly Consumer Confidence Index,Low,,,110.5
Mon May 29,23:30,GMT,JPY,JPY Jobless Rate,Medium,,2.8%,2.8%
Mon May 29,23:30,GMT,JPY,JPY Job-To-Applicant Ratio,Low,,1.46,1.45
Mon May 29,23:30,GMT,JPY,JPY Household Spending (YoY),Medium,,-0.7%,-1.3%
Mon May 29,23:50,GMT,JPY,JPY Retail Trade s.a. (MoM),Low,,-0.1%,0.2%
Mon May 29,23:50,GMT,JPY,JPY Retail Trade (YoY),Medium,,2.2%,2.1%
Mon May 29,23:50,GMT,JPY,JPY Large Retailers' Sales,Medium,,0.3%,-0.8%
Tue May 30,01:30,GMT,AUD,AUD Building Approvals (MoM),Low,,3.0%,-13.4%
Tue May 30,01:30,GMT,AUD,AUD Building Approvals (YoY),Medium,,-18.1%,-19.9%
Tue May 30,06:00,GMT,EUR,EUR German Import Price Index (MoM),Low,,0.1%,-0.5%
Tue May 30,06:00,GMT,EUR,EUR German Import Price Index (YoY),Low,,6.3%,6.1%
Tue May 30,06:45,GMT,EUR,EUR French Gross Domestic Product (QoQ),Low,,0.3%,0.3%
Tue May 30,06:45,GMT,EUR,EUR French Gross Domestic Product (YoY),Medium,,0.8%,0.8%
Tue May 30,07:00,GMT,CHF,CHF KOF Leading Indicator,Low,,106,106
Tue May 30,09:00,GMT,EUR,EUR Euro-Zone Economic Confidence,Low,,110,109.6
Tue May 30,09:00,GMT,EUR,EUR Euro-Zone Business Climate Indicator,Low,,1.11,1.09
Tue May 30,09:00,GMT,EUR,EUR Euro-Zone Industrial Confidence,Low,,3.1,2.6
Tue May 30,09:00,GMT,EUR,EUR Euro-Zone Services Confidence,Low,,14.1,14.2
Tue May 30,09:00,GMT,EUR,EUR Euro-Zone Consumer Confidence,Low,,-3.3,-3.3
Tue May 30,12:00,GMT,EUR,EUR German Consumer Price Index (MoM),Medium,,-0.1%,0.0%
Tue May 30,12:00,GMT,EUR,EUR German Consumer Price Index (YoY),High,,1.6%,2.0%
Tue May 30,12:30,GMT,CAD,CAD Current Account (BoP) (Canadian dollar),Low,,-$11.40b,-$10.73b
Tue May 30,12:30,GMT,CAD,CAD Industrial Product Price (MoM),Medium,,,0.8%
Tue May 30,12:30,GMT,CAD,CAD Raw Materials Price Index (MoM),Low,,,-1.6%
